nombre,conteo_productos,envios,ventas
Bella Pant leo,5,8951,2816
Bella Tshirt navy,5,1232,418
Belle Pant soft,5,3629,880
Belle Top bobble,6,374,198
Belma Pant fit,5,2750,1430
Belted Skirt warehouse,5,2904,990
Belvoir Bag closet,1,4134,1781
Bendi Pant regular,5,2464,814
Bendine Jumpsuit flower,4,3432,1408
Bendine Jumpsuit giraffe,4,2640,1342
Bengalin Pant lindex,5,1144,374
Benina Pant fit,4,2552,836
Bente Pant slim,5,2486,1518
Bentley Shirt comfort,10,5368,2838
Beorganic Tshirt amazone,6,2002,748
Berloir Scarf cahier,3,66,22
Bernice Dress bohck,5,5895,1364
Berry Jeans high,20,28281,10230
Berta Scarf closet,1,3211,1363
Besna Pant loose,5,3124,1188
Bess Sweater knit,7,1342,638
Best Bag whisky,1,1825,836
Betty Pant check,6,9127,2970
Betty Scarf closet,1,3695,1363
Bial Dress cerise,3,3035,1188
Bibla Top closet,5,4312,2068
Bike Skirt red,5,2046,572
Biker Jacket laura,4,6046,2354
Billary Top closet,5,3190,1826
Billass Top closet,5,4840,2398
Billi Tshirt embro,8,3982,1606
Billia Jacket closet,5,4488,1716
Billia Skirt closet,5,5434,2662
Billia Top closet,5,4136,2156
Billion Top closet,5,4708,2838
Birch Dress pleated,6,3036,1232
Bird Dress circus,6,2508,726
Bird Dress muse,6,4070,924
Bird Shirt muse,6,2882,902
Birds Shirt closet,2,2859,1342
Birds Top closet,4,4157,1738
Bista Jeans lulu,10,5280,2332
Biston Parka difusion,15,176,44
Bita Tshirt tee,18,8822,4202
Black Top polka,7,3234,1760
Blair Shirt floral,4,6774,3760
Blake Skirt pencil,5,2904,836
Blanc Top plain,3,4420,2112
Blanche Pant flounce,6,5124,1518
Blanka Sweater strong,21,21705,10824
Bleach Jeans kookai,5,2156,550
Bleus Jacket bomb,3,2112,1078
Blish Jacket colors,10,7764,2046
Blocked Sweater stripe,6,1848,682
Blues Top majo,12,21067,9987
Blus Cardigan season,3,1606,506
Blush Short pant,6,10512,4356
Bobbi Cardigan leo,5,3102,1232
Bobbi Cardigan leopard,5,3782,1386
Bobble Top shell,7,2508,990
Bocabril Bag cow,1,5124,1935
Bocamber Bag cow,3,15130,4331
Bocameba Bag buff,1,44,22
Bocanna Bag cow,2,12206,3100
Bocapple Bag suede,1,6619,1913
Bocaraton Bag cow,2,12579,3804
Bocarm Bag suede,1,5080,1429
Bocarthur Bag cow,3,14690,4750
Bodiam Scarf closet,2,7280,3628
Bohck Top bronte,5,5696,2508
Bohemia Jumpsuit print,6,2200,858
Bohemian Tshirt daphnea,6,6070,3146
Boho Top cerise,3,6488,2486
Bomb Jacket gold,3,2640,1144
Bomber Jacket miniprint,10,31381,13944
Bona Jeans colors,25,21886,11660
Bona Pant miniprint,15,19991,11371
Bonita Top desire,10,4136,1496
Bonnie Jeans denim,5,5674,1342
Bonnie Shirt marine,4,7873,3783
Bowie Tshirt cat,4,264,44
Brantlee Jacket regular,5,4224,1078
Bridget Shirt chambray,9,29138,14317
Brighton Tshirt capitan,5,2860,1144
Brighton Tshirt tiger,5,3585,1122
Brina Scarf closet,1,3233,1495
Bristol Bag crochet,4,14691,5804
Britney Tshirt cns,10,4136,1342
Bronte Top miniprint,3,3651,1760
Brooklyn Top print,6,1782,880
