nivel,tasa_acept,contr_ventas
2,32.03,0.008024
2,28.92,0.004697
1,40.3,0.015853
2,51.93,0.036776
2,39.76,0.006458
1,41.43,0.026421
2,50.0,0.008416
2,56.25,0.015853
2,39.4,0.015266
2,45.64,0.013308
2,50.97,0.026225
1,37.15,0.091006
1,49.86,0.03151
1,50.46,0.022311
2,35.0,0.00685
3,48.09,0.061436
2,41.33,0.140681
2,37.04,0.005871
3,33.14,0.010568
3,43.5,0.01507
1,45.99,0.014483
1,47.69,0.038342
1,34.96,0.031118
2,38.77,0.073944
2,44.63,0.027586
2,37.36,0.006654
2,33.41,0.034641
2,38.96,0.048928
3,38.2,0.123299
3,28.44,0.018593
3,31.07,0.02329
3,30.91,0.006654
1,38.12,0.053038
1,40.88,0.012721
2,51.95,0.076328
1,32.91,0.02466
1,23.08,0.006458
2,41.18,0.00822
2,48.2,0.041687
2,45.89,0.020745
1,27.64,0.006654
1,47.54,0.011351
2,50.73,0.035032
1,26.54,0.018593
1,39.78,0.020158
2,23.76,0.011156
1,49.88,0.037968
1,50.91,0.154408
1,47.02,0.059888
1,47.67,0.17607
1,40.46,0.045601
2,42.16,0.049319
2,40.05,0.048732
2,41.41,0.03014
2,41.72,0.01233
2,42.59,0.093159
2,38.6,0.004306
2,52.13,0.03151
2,45.74,0.155591
1,36.04,0.021724
2,46.24,0.008416
2,47.02,0.052451
2,38.69,0.010373
2,42.52,0.024464
2,47.58,0.021137
2,48.34,0.025638
1,40.84,0.021333
2,31.43,0.006458
2,36.21,0.00822
2,38.83,0.047558
2,42.39,0.007633
2,42.52,0.073952
3,30.07,0.017409
3,37.2,0.018192
3,39.39,0.017801
3,40.27,0.034819
3,45.32,0.017997
2,25.67,0.036207
2,28.9,0.03562
1,57.32,0.017614
1,38.89,0.03425
3,36.71,0.038929
1,29.81,0.041295
1,39.3,0.021528
1,34.39,0.01507
2,37.39,0.013896
1,40.21,0.007633
3,28.43,0.01096
1,32.35,0.008611
2,28.99,0.017418
2,27.18,0.013504
3,33.9,0.038929
3,38.93,0.035797
2,48.77,0.034445
